Wall time,Step,Value,Smoothed
1579548657.35525,17106701.00000,84.13554,8.27271
1579548657.35676,17105681.00000,71.99179,8.26369
1579548717.53544,17171232.00000,-58.78076,8.44046
1579548777.59279,17236600.00000,-172.65041,8.62082
1579548777.59573,17235989.00000,-337.00858,8.35183
1579548777.61793,17237006.00000,-269.75363,8.35646
1579548837.67414,17302703.00000,-92.62656,8.35654
1579549018.15882,17499786.00000,-136.69044,8.33431
1579549018.19271,17500043.00000,-366.24246,8.71083
1579549137.98737,17629657.00000,-59.87772,8.88377
1579549137.99519,17631031.00000,-42.65703,9.01384
1579549258.41305,17762106.00000,-14.06532,9.00929
1579549318.42941,17826500.00000,79.73932,8.58677
1579549439.81075,17957733.00000,-53.77867,8.35239
1579549439.81354,17958345.00000,-19.06196,7.67557
1579549439.83454,17958907.00000,57.71680,7.64830
1579549500.19195,18023249.00000,79.54738,7.23020
1579549560.65690,18089059.00000,-56.65052,6.15289
1579549620.73481,18153518.00000,-93.81876,6.15464
1579549681.02341,18219783.00000,46.74804,5.59936
1579549800.73915,18350946.00000,85.91539,5.62669
1579549800.76341,18352032.00000,82.93660,5.65851
1579549860.71437,18415893.00000,-59.84705,5.65123
1579549860.73243,18416156.00000,74.41472,5.62236
1579549980.86258,18546811.00000,65.33092,5.62114
1579549980.86942,18548082.00000,-112.99063,5.62622
1579550040.81905,18612926.00000,86.12978,5.79974
1579550040.85783,18614231.00000,71.17039,5.80635
1579550461.79939,19071966.00000,-32.07799,5.57202
1579550461.81880,19072411.00000,72.88107,5.57208
1579550522.16970,19137353.00000,83.10981,5.46765
1579550522.18331,19137078.00000,-19.80482,5.62034
1579550642.25617,19268709.00000,-30.43911,5.58517
1579550642.28570,19268036.00000,80.30219,5.72513
1579550702.00219,19333911.00000,71.11914,5.75808
1579550702.02100,19333656.00000,-47.33335,5.78021
1579550762.19102,19400286.00000,82.53198,5.89393
1579550762.19895,19400681.00000,-60.37733,5.77861
1579550762.20675,19400173.00000,-330.33490,5.73887
1579550822.24278,19466133.00000,62.86467,5.74594
1579550822.25388,19465921.00000,84.45142,5.62245
1579550822.27641,19466012.00000,-389.51288,5.62372
1579550822.28158,19464724.00000,-14.21813,5.19094
1579550942.39786,19597260.00000,-20.57820,5.35695
1579550942.42961,19597167.00000,79.46829,5.35741
1579551002.33684,19661796.00000,-20.45830,5.21451
1579551062.57769,19727231.00000,79.75282,5.04767
1579551122.55888,19792362.00000,85.14700,5.13836
1579551122.58114,19793058.00000,85.46430,5.11737
1579551362.69856,20054309.00000,-129.20935,4.94999
1579551543.94279,20251268.00000,-21.67481,4.75396
1579551604.36062,20316747.00000,-31.60835,4.57776
1579551784.62314,20513792.00000,-2.85223,4.77381
1579551784.65121,20513037.00000,-42.39989,4.59206
1579551844.99313,20579687.00000,-2.92321,4.57064
1579551905.01985,20644850.00000,-17.57836,4.72456
1579551965.47803,20709441.00000,-319.64859,4.73624
1579552025.64848,20776348.00000,-87.27132,4.72068
1579552025.66082,20775853.00000,-22.52644,4.52601
1579552264.26000,21038830.00000,74.42858,4.37956
1579552264.28864,21039052.00000,73.91959,3.97832
1579552324.29615,21104425.00000,-54.85825,3.95337
1579552384.06695,21169423.00000,-53.39805,4.10912
1579552384.08225,21169373.00000,0.28553,4.10470
1579552444.01615,21233910.00000,-37.33053,3.96435
1579552503.66758,21300524.00000,61.22507,4.11358
1579552684.00399,21497711.00000,86.17312,4.27530
1579552684.00608,21497256.00000,78.06105,4.26917
1579552803.58741,21627932.00000,-22.51818,4.14485
1579552923.94986,21758163.00000,82.43188,4.14666
1579553043.98210,21889090.00000,-5.07685,3.78926
1579553103.78049,21955084.00000,85.31375,3.90327
1579553164.03876,22020360.00000,-53.61996,4.07039
1579553164.06626,22021184.00000,81.97982,3.93519
1579553464.60381,22348940.00000,-19.12738,3.77732
1579553464.63273,22348855.00000,60.03439,3.77972
1579553464.63649,22349266.00000,80.37001,3.75999
1579553583.79395,22479410.00000,-44.87329,3.71649
1579553583.81662,22480515.00000,-37.53845,3.42783
1579553643.14089,22544495.00000,-47.32113,3.43442
1579553762.85937,22676027.00000,82.27899,2.93809
1579553822.65991,22742478.00000,-63.87272,3.03133
1579553822.70212,22742749.00000,0.15146,2.40861
1579553882.69423,22807525.00000,-27.20554,2.39169
1579553942.48745,22872375.00000,-123.45691,2.57073
1579553942.49765,22872215.00000,85.19944,2.57019
1579554062.12442,23005162.00000,66.81583,2.44289
1579554121.71402,23070691.00000,82.26333,2.47012
1579554181.02824,23135505.00000,-38.22985,2.47223
1579554240.48340,23201505.00000,84.31973,2.47737
1579554240.51650,23200575.00000,-16.84034,2.44860
1579554300.13990,23266673.00000,85.09510,2.38711
1579554300.18206,23266893.00000,-83.89032,2.49709
1579554359.78492,23331574.00000,-32.02148,2.49337
1579554359.80408,23331313.00000,64.01423,2.28137
1579554479.84840,23461967.00000,-39.53136,2.28613
1579554479.85148,23463654.00000,-46.70761,2.42472
1579554539.30960,23527466.00000,-62.49251,2.28013
1579554539.31849,23527866.00000,84.28716,2.24241
